PERIODICA      : ,2.15385%
RAFAGA         : ,10.1538%
PERMANENTER    : ,56.4615%
PERMANENTE-NR  : ,0.307692%
M-RAFAGA       : ,1.23077%
DRIFT          : ,4.76923%
OTROS          : ,24.9231%
